dt,id,name,lat,lon,t,rt,dp,vsby,wdir,wspd,gdir,gspd
2022-11-13 19:00:03,70,MI-01 Engadine,46.10089,-85.6178,28,34,17,2 3/4,330,4,340,8
2022-11-13 19:00:01,71,Michigamme,46.53887,-88.12978,22,NA,18,12,0,0,267,2
2022-11-13 18:59:58,72,Trout Creek T3,46.47888,-88.99046,25,NA,22,10,118,0,105,3
2022-11-13 18:59:58,76,St12 Cedar River,45.55023131,-87.26991195,31,NA,21,10,11,1,4,4
2022-11-13 19:00:04,79,Cooks,45.9096,-86.48062,28,34,26,NA,309,1,282,7
2022-11-13 17:59:54,81,T5 Calumet,47.21913,-88.458,23,28,20,9,0,0,287,4
2022-11-13 18:00:09,82,Wakefield,46.4773,-89.9519,23,NA,21,10,184,0,111,1
2022-11-13 18:00:03,83,Gwinn,46.27616,-87.41586,16,25,16,NA,355,NA,9,1
2022-11-13 19:00:01,84,Rudyard,46.18625,-84.56087,28,32,NA,2 3/4,300,7,287,12
2022-11-13 18:59:57,85,Hermansville,45.75189,-87.6825,29,34,16,9,291,1,275,5
2022-11-13 18:00:01,86,T9 Republic,46.25009,-88.01069,21,NA,15,10,0,0,9,1
2022-11-13 18:00:06,87,Presque Isle # 32,45.331,-83.5754,29,NA,24,12,270,8,270,11
2022-11-13 18:59:53,88,Silver City,46.83028,-89.56828,32,NA,19,10,71,2,170,7
2022-11-13 18:59:58,89,T22 Blaney Park,46.1006,-85.9267,29,NA,21,10,7,2,0,8
2022-11-13 18:59:59,90,I94MM0844B Galesburg,42.271174,-85.441124,34,NA,28,10,324,3,346,8
2022-11-13 17:59:50,91,Gaylord West AWS#1,45.061387,-84.782222,NA,31,NA,NA,NA,NA,NA,NA
2022-11-13 17:32:53,92,Cut River Bridge,46.044314,-85.12423,29,NA,19,NA,265,4,283,9
2022-11-13 18:59:48,94,Kalamazoo,42.23807,-85.677811,32,NA,30,12,NA,NA,NA,NA
2022-11-13 19:00:03,95,Fife Lake,44.5123,-85.4022,27,NA,25,10,250,0,245,1
2022-11-13 19:00:07,96,MANISTEE Site # 8,44.2198,-86.3088,33,NA,21,7,285,6,255,9
2022-11-13 18:00:15,97,MI-03 US-31 at 31BR,43.25075,-86.20448,33,40,23,12,NA,NA,NA,NA
2022-11-13 18:58:41,98,MI-03 Coopersville,43.05335,-85.90804,33,43,25,12,318,3,313,5
2022-11-13 19:00:08,99,MI-03 US-31 at I-96,43.17153,-86.20579,34,42,22,12,206,2,208,7
2022-11-13 17:59:53,103,I-75 @ Square Lake Road,42.614312,-83.233604,34,33,20,NA,0,4,346,8
2022-11-13 17:59:59,110,Escanaba River Bridge,45.794878,-87.07607,30,30,22,12,5,2,14,8
2022-11-13 18:59:54,121,MDOT site,44.7556,-85.51966,31,31,28,12,274,6,270,10
2022-11-13 18:00:05,124,ESS 1 MM-22 AT NORTH EAGLE HWY,45.05765,-85.69938,29,85,27,2 3/4,297,3,254,12
2022-11-13 18:00:03,125,ESS 2 - M-32 AT COUNTY RD 491,44.96178,-84.28186,28,37,16,12,NA,NA,NA,NA
2022-11-13 18:59:57,126,ESS 3  I-75 NORTH OF EXIT 215,44.28402,-84.32824,NA,34,NA,NA,NA,NA,NA,NA
2022-11-13 17:59:58,127,BDWS BRIDGE 1 - E 50 RD - US 131 M-MM 174.2,44.17932,-85.42504,NA,29,NA,NA,NA,NA,NA,NA
2022-11-13 19:00:01,128,B-2  M115 at N River Road,43.979868,-85.083738,31,39,19,12,347,2,358,3
2022-11-13 18:00:02,132,B-3  M-20 at Costabella Ave,43.595634,-85.085774,30,35,21,12,333,6,321,10
2022-11-13 19:00:01,133,B-8  US-10 at M-47,43.59716,-84.139437,32,36,17,12,339,4,342,9
2022-11-13 18:59:58,134,B-15,43.177376,-83.769255,33,37,20,12,346,3,328,9
2022-11-13 18:58:16,135,B-17,42.80168,-83.730006,34,38,19,12,301,4,290,10
2022-11-13 17:59:57,136,B-19,43.009118,-83.679774,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 18:59:56,137,B-21  I-69 at M-24,43.024745,-83.322205,NA,31,NA,NA,NA,NA,NA,NA
2022-11-13 19:00:02,138,B-22 WB I-69 Rest Area W of Capac,42.992582,-82.959523,32,38,19,12,145,5,142,9
2022-11-13 19:00:02,139, B-27 I-75 at Zilwaukee Bridge,43.48901,-83.925009,33,35,19,12,14,5,28,8
2022-11-13 19:00:03,140,B-99 I-675 at Henry Marsh Bridge,43.440276,-83.948587,34,35,20,12,320,4,312,7
2022-11-13 18:59:54,141,M-1,42.774375,-83.526573,33,38,17,12,308,3,324,8
2022-11-13 18:00:00,142,M-2,42.868855,-83.295864,31,36,18,12,343,2,320,5
2022-11-13 17:59:51,143,M-5,42.477155,-83.113198,36,39,20,NA,NA,NA,NA,NA
2022-11-13 17:59:54,144,M-1,42.707172,-82.774397,34,39,20,12,318,2,314,4
2022-11-13 17:58:04,145,M-1,42.367718,-83.545674,34,39,19,12,285,3,289,8
2022-11-13 18:00:06,146,M-9,42.341591,-83.4415,35,40,19,12,286,2,307,7
2022-11-13 18:59:55,147,M-9,42.275913,-83.160324,36,42,18,12,307,5,308,9
2022-11-13 17:59:51,149,M-11,42.21912,-83.54002,36,39,22,NA,NA,NA,NA,NA
2022-11-13 17:59:50,150,M-13,42.640709,-83.239648,35,38,19,NA,NA,NA,NA,NA
2022-11-13 18:59:50,151,M-14,42.453832,-83.430961,36,39,19,NA,NA,NA,NA,NA
2022-11-13 18:59:54,152,M-18,42.555847,-82.859558,35,39,17,12,313,5,307,6
2022-11-13 17:59:57,153,M-19,42.496231,-82.918015,35,NA,18,12,335,3,336,8
2022-11-13 18:59:50,154,M-22,42.187557,-83.243858,36,NA,19,NA,NA,NA,NA,NA
2022-11-13 18:58:26,155,M-24,42.383812,-83.478035,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 17:59:57,156,I75N @ Crooks,42.605172,-83.170011,34,38,19,12,332,2,354,7
2022-11-13 18:00:02,157,I75S-MM060.1,42.4604209,-83.1060032,36,42,20,12,313,2,2,8
2022-11-13 19:59:51,1,I75MM2638-ESS,44.785642,-84.715639,NA,NA,NA,10,NA,NA,NA,NA
2022-11-13 18:59:50,2,I75SMM2834-RPU,45.0549111,-84.6885,NA,31,NA,10,NA,NA,NA,NA
2022-11-13 18:59:51,4,Kalaska East M-72 at Sunset Trail,44.713161,-84.979797,26,NA,24,NA,NA,NA,NA,NA
2022-11-13 18:59:50,5,Interlochen ESS#5,44.658686,-85.815533,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 18:59:53,7,AWS #2 I-75 at Trowbridge,45.229483,-84.587187,30,26,18,NA,NA,NA,NA,NA
2022-11-13 19:59:52,9,Negaune,46.5346,-87.5278,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 19:59:53,10,US12MM6149 Edwardsburg,41.788123,-86.127571,33,NA,27,10,315,2,297,6
2022-11-13 19:57:40,11,Escanaba River Bridge,45.794878,-87.07607,30,30,22,12,350,2,14,8
2022-11-13 19:59:58,12,ESS#4 Sherman,44.445858,-85.698384,27,NA,24,10,NA,NA,NA,NA
2022-11-13 18:59:56,13,M79MM0495 Hastings,42.610004,-85.263515,33,NA,26,10,328,3,344,6
2022-11-13 20:00:00,14,I94MM1083B Marshall,42.297782,-84.999126,33,NA,27,10,356,3,342,7
2022-11-13 19:59:57,15,Covington Site 6,46.41708,-88.4935,25,NA,22,10,0,0,334,NA
2022-11-13 19:59:57,16,Manistique T21,45.96703814,-86.20269854,26,28,25,NA,317,2,314,4
2022-11-13 19:59:55,17,I69MM0088 Coldwater,41.877648,-84.990414,33,NA,28,NA,312,3,285,5
2022-11-13 19:59:59,18,South Haven - i196mm0200,42.404641,-86.25104,35,NA,24,10,270,6,282,12
2022-11-13 19:58:25,19,US31MM0470 Holland,42.751002,-86.118785,34,NA,23,10,271,4,262,8
2022-11-13 18:59:55,20,US131MM1412 Constantine,41.816024,-85.662682,34,NA,29,10,316,3,312,5
2022-11-13 20:00:01,22,US131MM0610 Wayland,42.62936,-85.662635,33,NA,30,10,228,4,223,7
2022-11-13 18:59:58,24,T15 Trenary ESS,46.15847333,-86.97997464,25,NA,22,10,291,6,298,8
2022-11-13 19:55:16,25,Dafter T26,46.37466667,-84.4344333,28,NA,17,10,23,3,21,7
2022-11-13 19:00:02,27,Golden Lake,46.16046,-88.87984,22,29,16,6,0,0,260,3
2022-11-13 19:59:59,28, ESS #7 Kwalloon Lake US131MM0122,45.28292,-84.939561,30,34,18,7,NA,NA,NA,NA
2022-11-13 18:59:58,29,I94MM0006B New Buffalo,41.767521,-86.739658,34,NA,22,10,141,1,142,3
2022-11-13 18:59:54,30,Arnheim T6,46.9534,-88.453,25,NA,23,10,305,1,326,4
2022-11-13 19:59:57,32,ESS 2 Cadillac South,44.166987,-85.438533,27,NA,21,6,0,0,319,2
2022-11-13 18:59:56,33,ESS 2 Merriweather,46.54878,-89.62556,20,NA,19,10,285,0,120,3
2022-11-13 19:59:56,34,M134MM0169 Cedarville,45.9995,-84.36333,29,35,24,NA,333,5,331,9
2022-11-13 19:00:04,36,Reed City,43.88729,-85.52686,28,NA,27,6,220,1,232,3
2022-11-13 18:59:57,37,T2 Rockland,46.7249,-89.1509,25,NA,22,2,21,2,15,4
2022-11-13 19:00:02,38,Site 7 Newberry,46.30378,-85.26,NA,33,21,NA,NA,NA,NA,NA
2022-11-13 19:59:57,39,I94MM0340B Benton Harbor,42.132851,-86.370088,34,NA,25,4,294,2,278,8
2022-11-13 18:59:57,40,ESS 1 I-75 at Levering Rd,45.63515,-84.635192,30,34,18,10,336,4,289,8
2022-11-13 19:59:57,42,Site 4 Watersmeet,46.26303,-89.17819,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 19:58:12,43,M94MM0001 Shingleton,46.33225,-86.46589,26,NA,25,NA,0,0,202,2
2022-11-13 18:59:59,44,T4 Nisula,46.7658,-88.9452,24,NA,22,10,0,0,68,0
2022-11-13 19:00:00,45,MI-01 Brevort,46.00841,-85.00555,28,34,17,NA,299,3,299,8
2022-11-13 19:00:02,46,ESS 8 - Paradise,46.60047,-85.22383,27,31,25,10,69,0,108,1
2022-11-13 19:00:02,48,MI-02 Kalkaska,44.7166,-85.1906,27,NA,22,3/4,255,NA,213,1
2022-11-13 20:00:00,49,I94MM0460 Hartford,42.192917,-86.1657,33,NA,30,10,165,1,167,3
2022-11-13 20:00:01,50,US41MM0001 Phoenix,47.38878,-88.27761,25,NA,24,NA,0,0,89,1
2022-11-13 19:00:03,51,Site # 2 - Maple City,44.8063,-85.8963,30,NA,24,12,20,3,8,6
2022-11-13 20:00:06,52,Eastport,45.1074,-85.3521,31,NA,25,10,0,0,188,8
2022-11-13 18:59:55,53,DeTour,45.97233,-84.08558,29,NA,17,10,324,2,295,7
2022-11-13 19:00:26,54,West Branch,44.24511,-84.22731,29,NA,20,7,330,4,341,7
2022-11-13 18:59:58,56,MI-01 Rapid River,45.9261,-86.9837,28,33,22,10,331,1,320,4
