94,MC103,MI-05 Kalamazoo,293,42.238070,-85.67781
95,MC046,MI-02 Fife Lake ESS,313,44.510000,-85.40000
96,MC048,MI-02 Manistee ESS,201,44.220000,-86.31000
97,MC109,MI-03 US-31 at 31BR,188,43.250750,-86.20448
98,MC110,MI-03 Coopersville,171,43.053350,-85.90804
99,MC111,MI-03 US-31 at I-96,208,43.171530,-86.20579
103,MC112,I75_Square_Lake,265,42.614312,-83.23360
110,MC042,MI-01 Escanaba ESS,187,45.750000,-87.08000
117,MC113,MI-01 Engadine (LCOM),206,46.100890,-85.61780
121,MC114,MI-02 US31MM2627,210,44.755600,-85.51966
124,MC115,MI-02 M22N-MM082.6,191,45.057650,-85.69938
125,MC116,MI-02 M32E-MM051.7,364,44.961780,-84.28186
126,MC117,MI-02 I75MM217.5,413,44.284020,-84.32824
127,MC118,MI-02 US131M - MM174.2,417,44.179320,-85.42504

