87,MI-02 Presque Isle,Presque Isle # 32,45.331,-83.5754
88,MI-01 Silver City,Silver City,46.83028,-89.56828
89,MI-01 Blaney Park,T22 Blaney Park,46.1006,-85.9267
90,MI-05 Galesburg,I94MM0844B Galesburg,42.271174,-85.441124
91,MI-02 M32/Hallock,Gaylord West AWS#1,45.061387,-84.782222
92,MI-01 Cut River Bridge,Cut River Bridge,46.044314,-85.12423
93,MI-02 Charles Brink,I75NSMM2765-BDWS,44.9581167,-84.67409722
94,MI-05 Kalamazoo,Kalamazoo,42.23807,-85.677811
95,MI-02 Fife Lake,Fife Lake,44.5123,-85.4022
96,MI-02 Manistee,MANISTEE Site # 8,44.2198,-86.3088
97,MI-03 US-31 at 31BR,MI-03 US-31 at 31BR,43.25075,-86.20448
98,MI-03 Coopersville,MI-03 Coopersville,43.05335,-85.90804
99,MI-03 US-31 at I-96,MI-03 US-31 at I-96,43.17153,-86.20579
103,I75_Square_Lake,I-75 @ Square Lake Road,42.614312,-83.233604
110,Mi-01 Escanaba,Escanaba River Bridge,45.794878,-87.07607
117,MI-01 Engadine (LCOM),Engadine,46.10089,-85.6178
121,MI-02 US31MM2627,MDOT site,44.7556,-85.51966
124,MI-02 M22N-MM082.6,ESS 1 MM-22 AT NORTH EAGLE HWY,45.05765,-85.69938
125,MI-02 M32E-MM051.7,ESS 2 - M-32 AT COUNTY RD 491,44.96178,-84.28186
126,MI-02 I75MM217.5,ESS 3  I-75 NORTH OF EXIT 215,44.28402,-84.32824
127,MI-02 US131M - MM174.2,BDWS BRIDGE 1 - E 50 RD - US 131 M-MM 174.2,44.17932,-85.42504
128,MI-04 M115_N_River_Rd,B-2  M115 at N River Road,43.979868,-85.083738
132,MI-04 Remus,B-3  M-20 at Costabella Ave,43.595634,-85.085774
133,MI-04 Midland,B-8  US-10 at M-47,43.59716,-84.139437
134,MI-04 I75_@_M57,B-15,43.177376,-83.769255
135,MI-04 Fenton,B-17,42.80168,-83.730006
136,MI-04 Flint,B-19,43.009118,-83.679774
137,MI-04 Lapeer,B-21  I-69 at M-24,43.024745,-83.322205
138,MI-04 Capac,B-22 WB I-69 Rest Area W of Capac,42.992582,-82.959523
139,MI-04 Zilwaukee_Bridge, B-27 I-75 at Zilwaukee Bridge,43.48901,-83.925009
140,MI-04 Henry_Marsh_Bridge,B-99 I-675 at Henry Marsh Bridge,43.440276,-83.948587
141,MI-07 I75_MM0977,M-1,42.774375,-83.526573
142,MI-07 M24_MM0139,M-2,42.868855,-83.295864
143,MI-07 I75_@_I696,M-5,42.477155,-83.113198
144,MI-07 I94_MM2466,M-1,42.707172,-82.774397
145,MI-07 M14_MM0156,M-1,42.367718,-83.545674
146,MI-07 I275_MM0263,M-9,42.341591,-83.4415
147,MI-07 I75_MM0427,M-9,42.275913,-83.160324
148,MI-07 I275_MM0076,M-10,42.093341,-83.377842
149,MI-07 I94_MM1865,M-11,42.21912,-83.54002
150,MI-07 I75_@_M59,M-13,42.640709,-83.239648
151,MI-07 I-275_9_Mile,M-14,42.453832,-83.430961
152,MI-07 I94_MM2346,M-18,42.555847,-82.859558
153,MI-07 I94_@_I696,M-19,42.496231,-82.918015
154,MI-07 I75_@_US24,M-22,42.187557,-83.243858
155,MI-07 M14_@_Sheldon,M-24,42.383812,-83.478035
156,MI-07 I75MM072.2,I75N @ Crooks,42.605172,-83.170011
157,MI-07 I75_9_Mile,I75S-MM060.1,42.4604209,-83.1060032
